dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,185322,12,2,0.16666666666666666,0.55,0.9,0.08865869045257568,0.0857548713684082,-0.0029038190841674805,0.16666666666666666,0.275
amazon-toys-and-games,valid,186487,15,5,0.3333333333333333,0.6,0.375,0.05314534902572632,0.04246479272842407,-0.010680556297302246,0.2,-0.08333333333333333
amazon-toys-and-games,valid,189873,27,17,0.6296296296296297,1.0,0.8,0.12448561191558838,0.10447540879249573,-0.02001020312309265,0.25925925925925924,-0.028571428571428574
amazon-toys-and-games,valid,189956,17,7,0.4117647058823529,0.6,0.925,0.029061421751976013,0.048150837421417236,0.019089415669441223,0.11764705882352941,0.0
amazon-toys-and-games,valid,190284,19,9,0.47368421052631576,0.75,0.325,0.015090972185134888,0.023537665605545044,0.008446693420410156,0.21052631578947367,0.0
amazon-toys-and-games,valid,195716,15,5,0.3333333333333333,0.55,0.4,0.13040274381637573,0.10685995221138,-0.023542791604995728,0.3333333333333333,-0.01
amazon-toys-and-games,valid,200244,14,4,0.2857142857142857,0.65,1.0,0.07735639810562134,0.0743599534034729,-0.0029964447021484375,0.07142857142857142,-0.15
amazon-toys-and-games,valid,201785,12,2,0.16666666666666666,0.9,0.5,0.2530418932437897,0.23580485582351685,-0.017237037420272827,0.16666666666666666,-0.2
amazon-toys-and-games,valid,203375,23,13,0.5652173913043478,0.6,0.95,0.08565101027488708,0.08858242630958557,0.0029314160346984863,0.13043478260869565,-0.19999999999999998
amazon-toys-and-games,valid,204096,12,2,0.16666666666666666,0.7,0.475,-0.007892191410064697,0.008648574352264404,0.0165407657623291,0.0,nan
amazon-toys-and-games,valid,205766,11,1,0.09090909090909091,0.45,0.95,-0.0156593918800354,-0.015615224838256836,4.416704177856445e-05,0.0,nan
